Hammer,1,16.440203,2.333997,4.9126773
Gun,2,12.830536,2.7045019,4.292163
Sword,3,18.335987,2.6580215,4.5432324
Axe,4,16.780567,2.6247735,1.1987219
Sword,5,10.326892,1.3172133,1.9251653
Hammer,6,26.652044,2.9091353,1.014322
Gun,7,14.288927,0.78128433,3.6608891
Spear,8,27.15937,2.5835443,4.8751616
Bow,9,26.848448,0.6167768,4.285801
Bow,10,22.35727,1.0722231,4.82015
Sword,11,19.903322,1.4491509,4.2468224
Spear,12,18.196795,2.863645,0.85769546
Axe,13,19.79336,2.9109778,2.0886102
Axe,14,19.433155,2.597574,3.1964657
Bow,15,23.059902,1.0976313,4.5682554
Axe,16,25.993484,2.544832,2.2150316
Gun,17,18.633652,1.9398448,0.7812463
Sword,18,16.98944,2.2569852,1.3347222
Bow,19,18.058449,1.7088563,3.8242464
Spear,20,27.532906,0.64722776,0.30478042
Bow,21,29.771349,1.5709597,0.49516162
Bow,22,25.059465,1.5953176,2.7668052
